location,numRuns,meanVal_raw_C,meanVal_ratio_A,meanVal_ratio_B,streamflowRechargeScalar,thisFrcAreaUnderCult,thisFrcCultAreaWthIrr,thisWplant,runoffRatio,initialSoilMoisture,effectiveIrrigationRatio,recentHistoricSlope,rescaledRecentHistoricSlope,rechScalar
Brooks - OR - Oregon Western,2,497.392135707658,0.620332885182763,0.500109742858351,0.00099418018368858,0.859375,0.830625,585.73170829711,0.092,117,0.84575,-2.04933085129964,-2.46721547184306,0.98
Brooks - OR - Oregon Western,3,486.816634305769,0.609714468048869,0.493104914285487,0.000580140453379964,0.866523437499999,0.8377015625,591.589025380081,0.1043,114.075,0.84152125,-2.04933085129964,-2.44637343779533,0.9604
Brooks - OR - Oregon Western,4,476.666709951461,0.598536788487967,0.485462698294713,0.00023441727857227,0.873689746093749,0.84479581640625,597.504915633882,0.1169075,111.223125,0.83731364375,-2.04933085129964,-2.42582978218035,0.941192
Brooks - OR - Oregon Western,5,467.306359859426,0.586812078261946,0.47719839706262,0,0.880873970458984,0.851907805947266,603.479964790221,0.1298301875,108.442546875,0.83312707553125,-2.04933085129964,-2.4055782057554,0.92236816
Brooks - OR - Oregon Western,6,459.807956203623,0.574552097031102,0.468326736713468,0,0.888076155385131,0.859037575462134,609.514764438123,0.1430759421875,105.731483203125,0.828961440153594,-2.04933085129964,-2.38561258533676,0.9039207968
Brooks - OR - Oregon Western,7,451.977826399739,0.561768143755737,0.458861882574888,0,0.895296345773594,0.866185169400789,615.609912082504,0.156652840742187,103.088196123047,0.824816632952826,-2.04933085129964,-2.36592696769137,0.885842380864
Brooks - OR - Oregon Western,8,443.811573093056,0.548471067779972,0.448817453978331,0,0.902534586638028,0.873350632324291,621.766011203329,0.170569161760742,100.510991219971,0.820692549788062,-2.04933085129964,-2.34651556368106,0.86812553324672
Brooks - OR - Oregon Western,9,435.304655382203,0.534671279605216,0.438206538616618,0,0.909790923104623,0.880534008905102,627.983671315362,0.184833390804761,97.9982164394714,0.816589087039121,-2.04933085129964,-2.32737274264725,0.850763022581785
Brooks - OR - Oregon Western,10,426.452385372547,0.520378761360543,0.427041706470635,0,0.917065400412385,0.887735343927364,634.263508028516,0.19945422557488,95.5482610284846,0.812506141603926,-2.04933085129964,-2.30849302702464,0.83374776213015
Brooks - OR - Oregon Western,11,417.249924668803,0.505603076977079,0.415335023316874,0,0.924358063913416,0.894954682287183,640.606143108801,0.214440581214252,93.1595545027725,0.808443610895906,-2.04933085129964,-2.28987108717314,0.817072806887547
Brooks - OR - Oregon Western,12,407.692280803751,0.490353382073331,0.403098063827171,0,0.931668959073199,0.9021920689929,647.012204539889,0.229801595744608,90.8305656402032,0.804401392841427,-2.04933085129964,-2.27150173641769,0.800731350749796
Brooks - OR - Oregon Western,13,397.774303599894,0.47463843355824,0.390341924271726,0,0.938998131470882,0.909447549165383,653.482326585288,0.245546635638223,88.5598014991981,0.800379385877219,-2.04933085129964,-2.2533799262864,0.7847167237348
Brooks - OR - Oregon Western,14,387.490681460938,0.45846659895856,0.377077234836127,0,0.946345626799559,0.916721168038296,660.017149851141,0.261685301529179,86.3458064617181,0.796377488947833,-2.04933085129964,-2.23550074193774,0.769022389260104
Brooks - OR - Oregon Western,15,376.835937589962,0.441845865477059,0.363314171562836,0,0.953711490866558,0.924012970958392,666.617321349652,0.278227434067408,84.1871613001752,0.792395601503094,-2.04933085129964,-2.21785939776804,0.753641941474902
Brooks - OR - Oregon Western,16,365.804426131144,0.424783848787825,0.349062467927284,0,0.961095769593724,0.931323003385788,673.283494563149,0.295183119919093,82.0824822676708,0.788433623495579,-2.04933085129964,-2.20045123319126,0.738569102645404
Brooks - OR - Oregon Western,17,354.390328231907,0.407287801574865,0.334331426058448,0,0.968498509017708,0.938651310894252,680.01632950878,0.312562697917071,80.0304202109791,0.784491455378101,-2.04933085129964,-2.18327170858286,0.723797720592496
Brooks - OR - Oregon Western,18,342.587648022334,0.389364621820016,0.319129927613507,0,0.975919755290253,0.945997939171488,686.816492803868,0.330376765364997,78.0296597057046,0.78056899810121,-2.04933085129964,-2.16631640138081,0.709321766180646
Brooks - OR - Oregon Western,19,330.390208508683,0.371020860846037,0.303466444315884,0,0.983359554678478,0.953362934019416,693.684657731907,0.348636184499122,76.0789182130619,0.776666153110704,-2.04933085129964,-2.1495810023362,0.695135330857033
Brooks - OR - Oregon Western,20,317.791647377829,0.352262731120635,0.28734904816575,0,0.990817953565175,0.960746341354465,700.621504309226,0.3673520891116,74.1769452577354,0.772782822345151,-2.04933085129964,-2.13306131190724,0.681232624239892
Los Aquijes - El Rosario,1,285.130736117718,0.00445829577139376,0.00368726141611622,0.226895774663566,0.138009049773755,0.026018099547511,775.079238620318,0.08,120,0.85,1.38915340199121,53.3918090156628,1
Los Aquijes - El Rosario,2,5.46760659364454,0.00439517440291402,0.00363797402252813,0.189207971844078,0.143354072398189,0.0310831447963798,782.830031006521,0.092,117,0.84575,1.38915340199121,44.6915333403782,0.98
Province Morropon - la Matanza District- Piura City,1,-523.526360594377,0.132903509555556,0.116809414762869,0.106703392835905,0.592307692307692,0.1,852.84375,0.08,120,0.85,2.32456437092929,23.2456437092929,1
