location,numRuns,meanVal,streamflowRechargeScalar,thisFrcAreaUnderCult,thisFrcCultAreaWthIrr,thisWplant,runoffRatio,initialSoilMoisture,effectiveIrrigationRatio,recentHistoricSlope,rescaledRecentHistoricSlope,rechScalar,,,,,,,,
6,3,-6.736559182,0.059735345,0.470788964,0.427279112,606.7691899,0.1043,114.075,0.84152125,-1.58997338,-3.721158688,0.9025,,,,,,,,
7,1,-71.81221239,0.068362647,0.862244898,0.821428571,546.9422567,0.08,120,0.85,-2.508134955,-3.053381684,1,,,,,,,,
7,2,-66.13253513,0.068754461,0.857589286,0.816875,541.4728341,0.0792,120.6,0.852125,-2.508134955,-3.070402393,1.05,,,,,,,,
7,3,-60.48708809,0.069148233,0.852945313,0.812332813,536.0581058,0.078408,121.203,0.854255313,-2.508134955,-3.087570656,1.1025,,,,,,,,
7,4,-54.87637511,0.069543974,0.848312949,0.80780198,530.6975247,0.07762392,121.809015,0.856390951,-2.508134955,-3.104888346,1.157625,,,,,,,,
7,5,-49.30096646,0.069941694,0.843692167,0.803282476,525.3905495,0.076847681,122.4180601,0.858531928,-2.508134955,-3.122357367,1.21550625,,,,,,,,
7,6,-43.76150226,0.070341402,0.839082936,0.798774269,520.136644,0.076079204,123.0301504,0.860678258,-2.508134955,-3.139979655,1.276281563,,,,,,,,
7,7,-38.25869599,0.070743109,0.834485229,0.794277334,514.9352775,0.075318412,123.6453011,0.862829954,-2.508134955,-3.157757182,1.340095641,,,,,,,,
7,8,-32.79333831,0.071146825,0.829899016,0.78979164,509.7859248,0.074565228,124.2635276,0.864987029,-2.508134955,-3.175691951,1.407100423,,,,,,,,
7,9,-27.36630091,0.071552559,0.825324268,0.785317161,504.6880655,0.073819576,124.8848453,0.867149496,-2.508134955,-3.193786,1.477455444,,,,,,,,
7,10,-21.97854076,0.071960322,0.820760958,0.780853868,499.6411849,0.07308138,125.5092695,0.86931737,-2.508134955,-3.212041403,1.551328216,,,,,,,,
7,11,-16.63110439,0.072370123,0.816209055,0.776401734,494.644773,0.072350566,126.1368158,0.871490663,-2.508134955,-3.230460271,1.628894627,,,,,,,,
7,12,-11.32513255,0.072781974,0.811668533,0.771960729,489.6983253,0.07162706,126.7674999,0.87366939,-2.508134955,-3.24904475,1.710339358,,,,,,,,
7,13,-6.06186501,0.073195884,0.807139361,0.767530827,484.801342,0.07091079,127.4013374,0.875853563,-2.508134955,-3.267797025,1.795856326,,,,,,,,
8,1,113466.8828,0.026987842,0.655407833,0.001,589.7608913,0.08,120,0.85,-0.071890695,-5.751255579,1,,,,,,,,
8,2,15361.80603,0.022284848,0.662046353,0.0060025,595.6585003,0.092,117,0.84575,-0.071890695,-5.751255579,0.95,,,,,,,,
8,3,6745.452103,0.018357848,0.668701469,0.011017506,601.6150853,0.1043,114.075,0.84152125,-0.071890695,-5.751255579,0.9025,,,,,,,,
8,4,3690.242149,0.015078803,0.675373222,0.01604505,607.6312361,0.1169075,111.223125,0.837313644,-0.071890695,-4.48055286,0.857375,,,,,,,,
8,5,2200.623063,0.012340801,0.682061655,0.021085163,613.7075485,0.129830188,108.4425469,0.833127076,-0.071890695,-3.409539493,0.81450625,,,,,,,,
8,6,1357.643877,0.010054569,0.68876681,0.026137876,619.844624,0.143075942,105.7314832,0.82896144,-0.071890695,-2.75044139,0.773780938,,,,,,,,
8,7,837.4454426,0.008145565,0.695488727,0.03120322,626.0430702,0.156652841,103.0881961,0.824816633,-0.071890695,-2.303951137,0.735091891,,,,,,,,
8,8,497.685313,0.006551547,0.702227448,0.036281228,632.3035009,0.170569162,100.5109912,0.82069255,-0.071890695,-1.98148459,0.698337296,,,,,,,,
8,9,266.6202603,0.005220541,0.708983017,0.041371931,638.6265359,0.184833391,97.99821644,0.816589087,-0.071890695,-1.737668327,0.663420431,,,,,,,,
8,10,104.5609971,0.004109152,0.715755475,0.046475361,645.0128013,0.199454226,95.54826103,0.812506142,-0.071890695,-1.546856074,0.63024941,,,,,,,,
9,1,96071.77537,0.02938327,0.701338046,0.001,591.9491547,0.08,120,0.85,1.000819926,80.06559408,1,,,,,,,,
9,2,12984.20678,0.02428503,0.708091391,0.0060025,597.8686462,0.092,117,0.84575,1.000819926,80.06559408,0.95,,,,,,,,
9,3,5684.804154,0.020028,0.71486162,0.011017506,603.8473327,0.1043,114.075,0.84152125,1.000819926,80.06559408,0.9025,,,,,,,,
9,4,3095.262017,0.01647338,0.721648774,0.01604505,609.885806,0.1169075,111.223125,0.837313644,1.000819926,62.37561896,0.857375,,,,,,,,
9,5,1831.727427,0.013505272,0.728452896,0.021085163,615.9846641,0.129830188,108.4425469,0.833127076,1.000819926,47.46560143,0.81450625,,,,,,,,
9,6,1115.924889,0.011026902,0.735274028,0.026137876,622.1445107,0.143075942,105.7314832,0.82896144,1.000819926,38.29002568,0.773780938,,,,,,,,
9,7,673.5643813,0.008957464,0.742112213,0.03120322,628.3659558,0.156652841,103.0881961,0.824816633,1.000819926,32.07425126,0.735091891,,,,,,,,
9,8,384.0842112,0.007229482,0.748967493,0.036281228,634.6496154,0.170569162,100.5109912,0.82069255,1.000819926,27.58506184,0.698337296,,,,,,,,
9,9,186.7147169,0.005786618,0.755839912,0.041371931,640.9961115,0.184833391,97.99821644,0.816589087,1.000819926,24.19079538,0.663420431,,,,,,,,
9,10,47.83404916,0.004581826,0.762729512,0.046475361,647.4060727,0.199454226,95.54826103,0.812506142,1.000819926,21.53441954,0.63024941,,,,,,,,
10,1,530.5020725,0.008889733,0.561305208,0.064271589,601.1326478,0.08,120,0.85,3.448539916,53.65574412,1,,,,,,,,
10,2,384.6930471,0.007172927,0.567708471,0.069432268,607.1439743,0.092,117,0.84575,3.448539916,49.66768382,0.95,,,,,,,,
10,3,273.4544491,0.005739394,0.574127742,0.074605848,613.215414,0.1043,114.075,0.84152125,3.448539916,46.22345291,0.9025,,,,,,,,
10,4,187.5914348,0.004542394,0.580563061,0.079792363,619.3475681,0.1169075,111.223125,0.837313644,3.448539916,43.21892208,0.857375,,,,,,,,
10,5,120.5207296,0.003542899,0.587014469,0.084991844,625.5410438,0.129830188,108.4425469,0.833127076,3.448539916,40.5749512,0.81450625,,,,,,,,
10,6,67.46649521,0.002708321,0.593482005,0.090204323,631.7964543,0.143075942,105.7314832,0.82896144,3.448539916,38.2303174,0.773780938,,,,,,,,
11,1,53.05817629,0.006106233,0.64336325,0.23051488,596.2380117,0.08,120,0.85,12.16101558,52.75588111,1,,,,,,,,
12,1,174.7185307,0,0.447015834,0.007917174,571.9910528,0.08,120,0.85,10.02921105,802.3368838,1,-5,174.7185307,0.447015834,73.10194977,,-5,174.7185307,169.7185307
12,2,220.2552221,5.00E-05,0.443398295,0.005397381,566.2711422,0.0792,120.6,0.852125,10.02921105,802.3368838,1.05,,,,,,,,
12,3,348.1611595,0.00010025,0.439789799,0.002883888,560.6084308,0.078408,121.203,0.854255313,10.02921105,802.3368838,1.1025,,,,,,,,
12,4,937.3586927,0.000150751,0.436190325,0.001,555.0023465,0.07762392,121.809015,0.856390951,10.02921105,802.3368838,1.157625,,,,,,,,
12,5,1195.915562,0.000201505,0.432599849,0.001,549.4523231,0.076847681,122.4180601,0.858531928,10.02921105,802.3368838,1.21550625,,,,,,,,
12,6,1456.648981,0.000252513,0.429018349,0.001,543.9577998,0.076079204,123.0301504,0.860678258,10.02921105,802.3368838,1.276281563,,,,,,,,
12,7,1719.560662,0.000303775,0.425445803,0.001,538.5182218,0.075318412,123.6453011,0.862829954,10.02921105,802.3368838,1.340095641,,,,,,,,
12,8,1984.651471,0.000355294,0.421882189,0.001,533.1330396,0.074565228,124.2635276,0.864987029,10.02921105,802.3368838,1.407100423,,,,,,,,
12,9,2251.921382,0.00040707,0.418327483,0.001,527.8017092,0.073819576,124.8848453,0.867149496,10.02921105,802.3368838,1.477455444,,,,,,,,
12,10,2521.369421,0.000459106,0.414781665,0.001,522.5236921,0.07308138,125.5092695,0.86931737,10.02921105,802.3368838,1.551328216,,,,,,,,
12,11,2792.993611,0.000511401,0.41124471,0.001,517.2984552,0.072350566,126.1368158,0.871490663,10.02921105,802.3368838,1.628894627,,,,,,,,
12,12,3066.79092,0.000563958,0.407716599,0.001,512.1254706,0.07162706,126.7674999,0.87366939,10.02921105,802.3368838,1.710339358,,,,,,,,
12,13,3342.757196,0.000616778,0.404197307,0.001,507.0042159,0.07091079,127.4013374,0.875853563,10.02921105,802.3368838,1.795856326,,,,,,,,
12,14,3620.887108,0.000669862,0.400686814,0.001,501.9341738,0.070201682,128.0383441,0.878043197,10.02921105,802.3368838,1.885649142,,,,,,,,
12,15,3901.174075,0.000723211,0.397185097,0.001,496.914832,0.069499665,128.6785358,0.880238305,10.02921105,802.3368838,1.979931599,,,,,,,,
12,16,4183.610201,0.000776827,0.393692134,0.001,491.9456837,0.068804668,129.3219285,0.882438901,10.02921105,802.3368838,2.078928179,,,,,,,,
12,17,4468.186198,0.000830712,0.390207904,0.001,487.0262269,0.068116622,129.9685382,0.884644998,10.02921105,802.3368838,2.182874588,,,,,,,,
12,18,4754.891313,0.000884865,0.386732384,0.001,482.1559646,0.067435455,130.6183808,0.886856611,10.02921105,802.3368838,2.292018318,,,,,,,,
