location,numRuns,meanVal,streamflowRechargeScalar,thisFrcAreaUnderCult,thisFrcCultAreaWthIrr,thisWplant,runoffRatio,initialSoilMoisture,effectiveIrrigationRatio,recentHistoricSlope,rescaledRecentHistoricSlope,rechScalar
2,7,-162.449252329742,0.0191180373302937,0.19529923714746,0.0451159800419666,568.265982161945,0.156652840742187,103.088196123047,0.824816632952826,-12.255876060951,-271.652661641189,0.885842380864
3,1,1655.27232565837,0.0803261237259427,0.711118356700359,0.589175089664167,543.042677875323,0.08,120,0.85,-2.21457271552925,-3.75876841091766,1
3,2,1302.081788674,0.0668223133111622,0.71789615259211,0.595648027388327,548.473104654076,0.092,117,0.84575,-2.21457271552925,-3.71792168143198,0.98
3,3,1011.09995706116,0.0555466316148204,0.72469089297359,0.602137147456798,553.957835700617,0.1043,114.075,0.84152125,-2.21457271552925,-3.67785433083273,0.9604
3,4,771.180439390872,0.046131437398375,0.731502620206024,0.60864249032544,559.497414057623,0.1169075,111.223125,0.83731364375,-2.21457271552925,-3.6385443848081,0.941192
3,5,573.175539146857,0.0382697502276432,0.738331376756539,0.615164096551254,565.092388198199,0.1298301875,108.442546875,0.83312707553125,-2.21457271552925,-3.59997068740623,0.92236816
3,6,409.576941696139,0.031705241440082,0.74517720519843,0.621702006792632,570.743312080181,0.1430759421875,105.731483203125,0.828961440153594,-2.21457271552925,-3.56211286329002,0.9039207968
3,7,274.221167906955,0.0262238766024685,0.752040148211426,0.628256261809613,576.450745200983,0.156652840742187,103.088196123047,0.824816632952826,-2.21457271552925,-3.52495128206196,0.885842380864
3,8,162.04808611827,0.0216469369630612,0.758920248581955,0.634826902464137,582.215252652993,0.170569161760742,100.510991219971,0.820692549788062,-2.21457271552925,-3.48846702452777,0.86812553324672
3,9,68.9028974808509,0.0178251923641561,0.76581754920341,0.641413969720298,588.037405179523,0.184833390804761,97.9982164394714,0.816589087039121,-2.21457271552925,-3.45264185077691,0.850763022581785
3,10,-8.62625340009836,0.0146340356240703,0.772732093076418,0.648017504644598,593.917779231318,0.19945422557488,95.5482610284846,0.812506141603926,-2.21457271552925,-3.41745816996691,0.83374776213015
4,1,-125.760000817849,0.0488139376533007,0.729106628242075,0.729106628242075,532.723719596065,0.08,120,0.85,3.84633108888682,5.27540271874991,1
5,1,-60.1765666417832,0.0504820024968057,0.443718592964824,0.443718592964824,521.947959038527,0.08,120,0.85,3.0231731695527,6.81326682605875,1
6,1,157.748087557845,0.0863338162583446,0.458481192334989,0.415188076650106,594.813439716079,0.08,120,0.85,-1.58997337966945,-3.82952562727224,1
6,2,67.2630663112525,0.0718387365757177,0.464627395315826,0.421226046841731,600.76157411324,0.092,117,0.84575,-1.58997337966945,-3.77463215200188,0.98
6,3,-7.80028596310694,0.0597353450407243,0.470788963804116,0.427279111958836,606.769189854372,0.1043,114.075,0.84152125,-1.58997337966945,-3.7211586880068,0.9604
7,1,-71.81221238574,0.0683626473097048,0.862244897959183,0.821428571428571,546.942256695337,0.08,120,0.85,-2.50813495498953,-3.05338168433508,1
8,1,113466.882805408,0.0269878420585359,0.655407833273446,0.001,589.76089134714,0.08,120,0.85,-0.0718906947428331,-5.75125557942665,1
8,2,15361.3685341875,0.0222848481188775,0.66204635285663,0.0060025,595.658500260612,0.092,117,0.84575,-0.0718906947428331,-5.75125557942665,0.98
8,3,6744.60772786857,0.0183578481792627,0.668701468738771,0.01101750625,601.615085263218,0.1043,114.075,0.84152125,-0.0718906947428331,-5.75125557942665,0.9604
8,4,3689.0198184458,0.0150788032296843,0.675373222410618,0.016045050015625,607.63123611585,0.1169075,111.223125,0.83731364375,-0.0718906947428331,-4.48055286040395,0.941192
8,5,2199.0500771435,0.0123408006967864,0.682061655466645,0.0210851626406641,613.707548477009,0.1298301875,108.442546875,0.83312707553125,-0.0718906947428331,-3.40953949314991,0.92236816
8,6,1355.74600492817,0.0100545685818167,0.688766809605311,0.0261378755472657,619.844623961779,0.1430759421875,105.731483203125,0.828961440153594,-0.0718906947428331,-2.75044138965432,0.9039207968
8,7,835.246998663002,0.00814556476581691,0.695488726629324,0.0312032202361339,626.043070201396,0.156652840742187,103.088196123047,0.824816632952826,-0.0718906947428331,-2.30395113705548,0.885842380864
8,8,495.209235287851,0.00655154657945712,0.702227448445898,0.0362812282867242,632.30350090341,0.170569161760742,100.510991219971,0.820692549788062,-0.0718906947428331,-1.98148458962562,0.86812553324672
8,9,263.8881817194,0.00522054139384669,0.708983017067012,0.041371931357441,638.626535912444,0.184833390804761,97.9982164394714,0.816589087039121,-0.0718906947428331,-1.7376683269079,0.850763022581785
8,10,101.593313707047,0.00410915206386199,0.71575547460968,0.0464753611858346,645.012801271569,0.19945422557488,95.5482610284846,0.812506141603926,-0.0718906947428331,-1.54685607402541,0.83374776213015
